id_order,manual_categories
311458,accessories
311458,accessories
311458,accessories
311458,accessories
311473,accessories
311477,tablet
311477,accessories
311473,accessories
311485,accessories
311473,accessories
311473,accessories
311473,accessories
311485,accessories
311485,accessories
311499,accessories
311502,accessories
311499,accessories
311516,accessories
311516,accessories
311516,accessories
311516,accessories
311516,accessories
311548,accessories
311548,accessories
311562,accessories
311565,accessories
311566,accessories
311566,accessories
310410,accessories
311565,accessories
310410,accessories
311585,accessories
311588,accessories
311562,accessories
311585,accessories
311588,accessories
311595,accessories
311595,accessories
311599,accessories
310410,accessories
310752,accessories
311641,accessories
311641,accessories
311642,display
311305,accessories
311653,accessories
311051,accessories
311653,accessories
311685,accessories
311685,accessories
311642,accessories
311642,accessories
311693,accessories
311693,accessories
311175,accessories
311175,accessories
311718,accessories
311718,accessories
311175,accessories
311721,service
311721,service
311732,accessories
311732,accessories
311732,accessories
311736,pc
311732,accessories
311738,accessories
311738,tablet
310831,accessories
311748,accessories
311749,accessories
311750,camera
311750,accessories
311748,accessories
311750,accessories
311754,accessories
311750,accessories
311754,accessories
269440,accessories
269440,accessories
311789,accessories
311789,accessories
311792,accessories
311792,accessories
311798,tablet
311803,accessories
311803,accessories
311798,accessories
311840,accessories
311853,accessories
311853,accessories
311321,accessories
311865,accessories
311865,accessories
311865,accessories
311865,accessories
311865,accessories
311865,accessories
311882,accessories
311881,accessories
311882,accessories
311881,accessories
311902,accessories
311902,accessories
311902,other
309910,accessories
309910,accessories
309134,accessories
309134,accessories
311924,display
311924,accessories
311947,accessories
311947,accessories
311947,accessories
311968,accessories
311968,accessories
311968,accessories
311989,accessories
311989,accessories
311749,accessories
310831,accessories
310831,accessories
310719,accessories
312007,accessories
312007,accessories
311989,accessories
307118,accessories
309153,accessories
307537,accessories
312097,accessories
312099,accessories
309930,accessories
312104,accessories
312104,accessories
312099,accessories
312124,tablet
311956,accessories
311956,accessories
312136,accessories
312181,accessories
312181,accessories
312181,accessories
312181,accessories
312181,accessories
312181,accessories
312189,accessories
312191,accessories
312191,accessories
312201,accessories
312204,accessories
312204,accessories
312201,accessories
312208,laptop
312201,accessories
312208,accessories
311398,accessories
311398,accessories
312237,accessories
312237,accessories
312245,accessories
312247,accessories
312247,accessories
312245,accessories
312251,accessories
312251,accessories
312124,accessories
312245,accessories
312245,accessories
312245,accessories
312245,accessories
312273,accessories
312273,accessories
312276,accessories
312276,accessories
312309,accessories
312309,accessories
312319,accessories
312359,accessories
312363,accessories
312359,accessories
312363,accessories
312359,accessories
312368,accessories
312368,accessories
312373,accessories
312373,accessories
312391,accessories
312391,accessories
311840,accessories
312404,tablet
312404,accessories
312363,accessories
312436,accessories
312438,accessories
312436,accessories
312438,accessories
312457,accessories
312457,accessories
312467,accessories
312467,accessories
312457,accessories
312467,accessories
312467,accessories
312481,other
312481,accessories
312467,accessories
312467,accessories
312467,accessories
312525,accessories
312525,accessories
312525,accessories
312532,accessories
312532,accessories
309054,accessories
312097,accessories
312189,accessories
312189,accessories
312596,accessories
312596,display
312604,accessories
312604,accessories
312607,accessories
312607,accessories
312607,accessories
312648,accessories
312649,accessories
312648,accessories
312649,accessories
312662,accessories
312662,accessories
310611,accessories
310611,accessories
310611,accessories
310611,display
312690,accessories
312690,accessories
312696,accessories
312696,accessories
310611,accessories
303772,accessories
312720,accessories
312720,accessories
312737,accessories
312737,accessories
312319,accessories
312794,pc
312794,other
312812,accessories
312812,accessories
312447,accessories
312447,accessories
312870,accessories
312870,accessories
312870,accessories
312911,accessories
312911,accessories
312911,accessories
311502,accessories
312917,accessories
312917,accessories
312917,accessories
312950,accessories
312950,accessories
312950,accessories
312950,accessories
312974,accessories
312974,accessories
313012,accessories
313012,laptop
313018,accessories
313018,accessories
313026,accessories
313026,tablet
313026,accessories
313026,accessories
313040,accessories
313040,accessories
313056,extended warranty
313056,accessories
313073,accessories
313073,accessories
313074,accessories
313073,accessories
313073,accessories
313073,accessories
313073,accessories
313073,accessories
313088,accessories
313088,accessories
313091,accessories
313091,accessories
313102,accessories
313102,accessories
313110,accessories
313110,accessories
313110,accessories
313125,accessories
313125,accessories
313137,accessories
313137,accessories
313074,accessories
305128,accessories
305128,accessories
305128,accessories
313232,accessories
313232,accessories
313243,accessories
313243,accessories
313243,accessories
313073,accessories
313259,accessories
313274,tablet
313274,accessories
313285,accessories
313259,accessories
313331,accessories
313331,accessories
313353,laptop
313353,accessories
313372,accessories
313386,accessories
313386,accessories
313418,display
313418,accessories
313422,accessories
313422,accessories
313418,tablet
313435,accessories
313435,accessories
313443,accessories
313443,accessories
313462,accessories
313462,accessories
313469,accessories
313477,accessories
313484,accessories
313484,accessories
313484,accessories
313497,accessories
313497,accessories
313073,accessories
308660,accessories
313497,other
313469,accessories
313469,accessories
313513,accessories
313513,accessories
313513,accessories
313469,accessories
313526,accessories
313526,accessories
313073,tablet
313526,accessories
313530,tablet
313526,accessories
313490,accessories
313530,accessories
313477,accessories
313490,accessories
310036,display
310036,accessories
313549,accessories
313549,accessories
313575,accessories
313575,accessories
313575,accessories
313593,accessories
313593,accessories
313593,accessories
313613,accessories
310236,accessories
310236,accessories
313613,accessories
313640,accessories
313640,accessories
313645,accessories
313645,accessories
313645,accessories
313671,accessories
313672,accessories
313673,accessories
313672,accessories
313673,accessories
313683,accessories
313683,accessories
313685,accessories
313683,accessories
313685,accessories
313685,accessories
313691,accessories
313691,accessories
313671,accessories
313705,accessories
313706,accessories
313706,accessories
313705,accessories
313705,accessories
313705,accessories
313712,display
313713,accessories
313718,accessories
313718,accessories
313726,accessories
313728,accessories
313728,accessories
313726,accessories
313731,accessories
313731,accessories
313712,accessories
313744,accessories
313744,accessories
313372,accessories
313746,display
313746,accessories
313744,accessories
313746,accessories
313726,accessories
313746,service
313752,accessories
313752,accessories
313762,accessories
313752,accessories
313726,accessories
313762,accessories
313762,accessories
313726,accessories
313712,accessories
313777,accessories
303772,accessories
313777,accessories
313777,accessories
313779,pc
313779,accessories
313779,accessories
313789,accessories
313789,accessories
313792,accessories
313793,accessories
313792,accessories
313793,accessories
312136,accessories
312136,accessories
313806,pc
313806,accessories
313811,accessories
313806,accessories
313811,accessories
313813,accessories
313813,accessories
313806,display
313833,accessories
313838,display
313838,display
307835,accessories
313833,accessories
313843,accessories
313833,accessories
313843,accessories
313843,accessories
313074,accessories
313850,accessories
313850,other
313806,accessories
313860,accessories
313713,accessories
313285,accessories
313874,accessories
313875,laptop
